tweet_id,message,intent,agent_reply,retrieved_evidence,deterministic_score,human_score,human_notes
2618541,It normally doesnt and no its happening when im offline usually,app_or_technical_issue,We're looking into this! Could you send us a DM with more details about the issue so we can help?,@425498 That's strange. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /GU,5,,
187638,"not getting any error messages. just when pushing play next to a song, it plays a different one from my saved songs list.",playback_issue,We're looking into this! Could you send us a DM with more details about the issue so we can help?,@817967 Can you send us any error messages you're getting? We'll take a look /NG,5,,
1435271,I did already and it‘s still not working.. I also deleted the app and downloaded it again but it still doesnt play the songs..,playback_issue,We're looking into this! Could you send us a DM with more details about the issue so we can help?,@566343 Does restarting the device help at all? We'll keep an eye out for your message /RC,5,,
187551,yas you should add their solo' single to that playlist!! it would be nice and makes a lot of fans very happy!! thxx,playback_issue,I'm not completely sure how to help with this. Let me transfer you to a human agent who can investigate further.,"@750030 You're welcome! If you need us again, just... https://t.co/AUc7DGJpgF /KT",3,,
1930974,I dont know about other device. I need to check. In web app it works right. I opened web app after really long time &amp; I am shocked. Its BAD.,app_or_technical_issue,We're looking into this! Could you send us a DM with more details about the issue so we can help?,"@568894 @147836 Hmm, that's odd! What device/OS are you using? Also, which version of the Spotify app you're using? We'll see what we can suggest 🙂 /MK",5,,
965741,2/2 And here's a link to the artist it should be associated with...,other_or_unclear,I'm escalating this to a human specialist to assist you further.,"@181990 No worries, we'll get this sorted out. Just fire over your account's email address in the link above. We'll be waiting /NY",4,,
2774599,"It’s an iPhone 7 Plus, iOS 11.1.2 and it’s he most recent Spotify update",app_or_technical_issue,We're looking into this! Could you send us a DM with more details about the issue so we can help?,@342426 Got it. Can you let us know your device and operating system? We'll see what we can suggest /MG,5,,
570527,"iPhone 7plus, iOS 11.2, Spotify version 8.4.28",other_or_unclear,I'm escalating this to a human specialist to assist you further.,"@335273 No worries, we're on it! Can you let us know the model of your iPhone and which versions of iOS and Spotify you're running? /RA",4,,
2239727,hi. It’s still happening. What can i do ?,app_or_technical_issue,We're looking into this! Could you send us a DM with more details about the issue so we can help?,@237285 Hmm. Can you try reinstalling the app? You can follow the steps here: https://t.co/PDA2aKzC6Q /MT,5,,
867554,I was listening to the new Trivium album and sometimes a song not in the playlist would play after a song.,playback_issue,We're looking into this! Could you send us a DM with more details about the issue so we can help?,"@206190 https://t.co/sUC7OzMtJR! If you need anything else, just shout and we'll come running 🏃 /AC",5,,
1353056,"36.1Gb free Spotify 8.4.24.871armV7 Android 6.0 When I set the storage to SD card, after the reboot it is again set to internal storage.",other_or_unclear,I'm escalating this to a human specialist to assist you further.,"@274500 Hi Justen, help's arrived! Just to check, have you followed the exact steps here: https://t.co/zEMYB82ZiG? /FJ",4,,
189319,"doesn't work unfortunately, also deleted the app numerous times and reinstalled as well",app_or_technical_issue,We're looking into this! Could you send us a DM with more details about the issue so we can help?,@581974 Thanks. Can you try logging out &gt; restarting your phone &gt; logging back in? Let us know if that makes a difference /RH,5,,
2705886,Got it figured out. It spawned from my everyday premium SFY account being a variant of my normal because my normal email account is now forever req'd to be linked to FB apparently.,app_or_technical_issue,I'm not completely sure how to help with this. Let me transfer you to a human agent who can investigate further.,"@476699 Hey there, help's here! Could you DM us your account's email address and username as well as your husbands'? We'll help out there /CG https://t.co/ldFdZRiNAt",3,,
1765622,"A song page loads, such as 's Wolves ( and then... nothing. The main button even says ""Pause"". No sound, no time ticking to show it's attempting to play.",playback_issue,I'm not completely sure how to help with this. Let me transfer you to a human agent who can investigate further.,"@160407 Thanks. When did you start having this issue? Also, what usually makes the app freeze? /RH",3,,
1218594,The problem is still not fixed.,other_or_unclear,I'm escalating this to a human specialist to assist you further.,@199967 Hey Isah! We've just sent you a bit more info over DM. We'll carry on helping out there /GS,4,,
508861,I understand that but I wish there was a way to tell it to default to the explicit version when it's available.,music_or_content_request,We're looking into this! Could you send us a DM with more details about the issue so we can help?,@190761 Sometimes content isn't available in your country because of licensing matters. Hopefully we'll have it available in your country soon! /MO,5,,
1577528,"Different issues: occasionally when I try to play a playlist I have, it either won't play or tells me to get premium.",playback_issue,I'm not completely sure how to help with this. Let me transfer you to a human agent who can investigate further.,"@554019 Hey Maddie, can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. Also, what country is your account set to? /SY",3,,
1315452,"shit, here I am totally complaining. thanks very much",other_or_unclear,I'm escalating this to a human specialist to assist you further.,"@411714 Hey Mark! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /RI",4,,
2672071,Just checked and it's up now.. cheers for the help tho,other_or_unclear,I'm escalating this to a human specialist to assist you further.,@118118 Hey there! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP 🙂 /KC,4,,
1287119,It plays for about a song and a half and then the app shuts off. Also BT readout doesn't change songs on phone or in car/BT speakers.,playback_issue,I'm not completely sure how to help with this. Let me transfer you to a human agent who can investigate further.,"@468275 Thanks. Just to check, is this happening even if your phone isn't connected to your car? /DR",3,,
