tweet_id,true_intent,pred_intent
2382585,feature_or_product_question,feature_or_product_question
874981,app_or_technical_issue,app_or_technical_issue
2312965,feature_or_product_question,feature_or_product_question
1698986,other_or_unclear,other_or_unclear
470967,other_or_unclear,other_or_unclear
353162,other_or_unclear,other_or_unclear
2251340,app_or_technical_issue,app_or_technical_issue
450881,other_or_unclear,other_or_unclear
689553,music_or_content_request,music_or_content_request
1021340,playback_issue,playback_issue
1861551,app_or_technical_issue,app_or_technical_issue
1513486,other_or_unclear,other_or_unclear
2380904,other_or_unclear,other_or_unclear
2790801,other_or_unclear,other_or_unclear
2095111,other_or_unclear,other_or_unclear
187638,playback_issue,playback_issue
189335,other_or_unclear,other_or_unclear
2439885,other_or_unclear,other_or_unclear
323081,app_or_technical_issue,app_or_technical_issue
1403679,app_or_technical_issue,app_or_technical_issue
2297262,account_or_access,account_or_access
677115,other_or_unclear,other_or_unclear
211369,other_or_unclear,other_or_unclear
1297574,other_or_unclear,other_or_unclear
1616430,app_or_technical_issue,app_or_technical_issue
91680,app_or_technical_issue,app_or_technical_issue
2203792,other_or_unclear,other_or_unclear
2427700,other_or_unclear,other_or_unclear
2294344,other_or_unclear,other_or_unclear
1764683,app_or_technical_issue,app_or_technical_issue
1435271,playback_issue,playback_issue
2704317,playback_issue,playback_issue
2125252,other_or_unclear,other_or_unclear
1517196,feature_or_product_question,feature_or_product_question
2677962,app_or_technical_issue,app_or_technical_issue
129249,other_or_unclear,other_or_unclear
2608713,other_or_unclear,other_or_unclear
2368045,other_or_unclear,other_or_unclear
2198191,playback_issue,playback_issue
2523560,app_or_technical_issue,app_or_technical_issue
2131397,app_or_technical_issue,app_or_technical_issue
9377,app_or_technical_issue,app_or_technical_issue
2078280,other_or_unclear,other_or_unclear
581520,playback_issue,playback_issue
1339988,other_or_unclear,other_or_unclear
867554,playback_issue,playback_issue
2216066,other_or_unclear,other_or_unclear
431433,other_or_unclear,other_or_unclear
1295664,app_or_technical_issue,app_or_technical_issue
699074,playback_issue,playback_issue
1199008,music_or_content_request,music_or_content_request
1152029,playback_issue,playback_issue
2851466,playback_issue,playback_issue
737374,other_or_unclear,other_or_unclear
711777,app_or_technical_issue,app_or_technical_issue
681878,other_or_unclear,other_or_unclear
1577528,playback_issue,subscription_or_payment
1087023,other_or_unclear,other_or_unclear
1526256,playback_issue,playback_issue
2118668,other_or_unclear,other_or_unclear
79452,subscription_or_payment,subscription_or_payment
272515,account_or_access,account_or_access
677092,account_or_access,subscription_or_payment
2016110,subscription_or_payment,subscription_or_payment
917303,music_or_content_request,music_or_content_request
2783463,other_or_unclear,other_or_unclear
1353056,other_or_unclear,other_or_unclear
2653156,other_or_unclear,other_or_unclear
1287119,playback_issue,playback_issue
2774599,app_or_technical_issue,app_or_technical_issue
1209343,playback_issue,playback_issue
2689671,app_or_technical_issue,app_or_technical_issue
2066485,account_or_access,account_or_access
2536595,other_or_unclear,other_or_unclear
9371,app_or_technical_issue,app_or_technical_issue
2596601,playback_issue,playback_issue
1157917,other_or_unclear,other_or_unclear
2284408,other_or_unclear,other_or_unclear
1765622,playback_issue,playback_issue
2705127,other_or_unclear,other_or_unclear
1125542,other_or_unclear,other_or_unclear
1847317,other_or_unclear,other_or_unclear
2672071,other_or_unclear,other_or_unclear
1027100,other_or_unclear,other_or_unclear
2473666,playback_issue,playback_issue
2517257,feature_or_product_question,feature_or_product_question
2614456,other_or_unclear,other_or_unclear
2706972,app_or_technical_issue,app_or_technical_issue
160519,app_or_technical_issue,app_or_technical_issue
1397487,app_or_technical_issue,app_or_technical_issue
2848317,subscription_or_payment,subscription_or_payment
620325,app_or_technical_issue,app_or_technical_issue
290153,other_or_unclear,other_or_unclear
187398,other_or_unclear,other_or_unclear
1343812,other_or_unclear,other_or_unclear
2618541,app_or_technical_issue,app_or_technical_issue
230260,app_or_technical_issue,app_or_technical_issue
2784992,subscription_or_payment,subscription_or_payment
2545867,subscription_or_payment,subscription_or_payment
2154953,other_or_unclear,other_or_unclear
2859044,playback_issue,playback_issue
2306176,app_or_technical_issue,app_or_technical_issue
649088,other_or_unclear,other_or_unclear
166624,other_or_unclear,other_or_unclear
2035222,other_or_unclear,other_or_unclear
1962698,app_or_technical_issue,app_or_technical_issue
1450227,account_or_access,account_or_access
2746334,playback_issue,playback_issue
2422832,app_or_technical_issue,app_or_technical_issue
1627433,other_or_unclear,other_or_unclear
160555,music_or_content_request,music_or_content_request
494212,other_or_unclear,other_or_unclear
2964682,playback_issue,playback_issue
1855905,playback_issue,playback_issue
890661,other_or_unclear,other_or_unclear
965741,other_or_unclear,other_or_unclear
172486,app_or_technical_issue,app_or_technical_issue
1150047,other_or_unclear,other_or_unclear
67719,music_or_content_request,music_or_content_request
1543714,playback_issue,subscription_or_payment
648645,subscription_or_payment,subscription_or_payment
1009375,app_or_technical_issue,app_or_technical_issue
1870132,other_or_unclear,other_or_unclear
2924049,other_or_unclear,other_or_unclear
1444688,other_or_unclear,other_or_unclear
1263458,other_or_unclear,other_or_unclear
2507490,app_or_technical_issue,app_or_technical_issue
1964312,other_or_unclear,other_or_unclear
1930974,app_or_technical_issue,app_or_technical_issue
2276896,account_or_access,subscription_or_payment
2251423,other_or_unclear,other_or_unclear
1730849,app_or_technical_issue,app_or_technical_issue
2887775,subscription_or_payment,subscription_or_payment
1063359,music_or_content_request,music_or_content_request
466055,other_or_unclear,other_or_unclear
1128836,other_or_unclear,other_or_unclear
2239643,other_or_unclear,other_or_unclear
1243940,playback_issue,playback_issue
2891289,other_or_unclear,other_or_unclear
2066023,other_or_unclear,other_or_unclear
2286399,other_or_unclear,other_or_unclear
141182,app_or_technical_issue,app_or_technical_issue
1289174,app_or_technical_issue,app_or_technical_issue
2293844,playback_issue,playback_issue
181682,app_or_technical_issue,app_or_technical_issue
2913910,other_or_unclear,other_or_unclear
211087,playback_issue,playback_issue
272242,other_or_unclear,other_or_unclear
1154180,app_or_technical_issue,app_or_technical_issue
2259622,other_or_unclear,other_or_unclear
1211742,other_or_unclear,subscription_or_payment
974972,other_or_unclear,other_or_unclear
1315452,other_or_unclear,other_or_unclear
2298904,app_or_technical_issue,subscription_or_payment
2190750,other_or_unclear,other_or_unclear
1099427,other_or_unclear,other_or_unclear
1386923,subscription_or_payment,subscription_or_payment
684940,other_or_unclear,other_or_unclear
187551,playback_issue,playback_issue
844351,other_or_unclear,other_or_unclear
1826396,app_or_technical_issue,app_or_technical_issue
95805,other_or_unclear,other_or_unclear
1523739,app_or_technical_issue,app_or_technical_issue
1230173,app_or_technical_issue,app_or_technical_issue
1636799,other_or_unclear,other_or_unclear
2705886,app_or_technical_issue,subscription_or_payment
1760771,playback_issue,playback_issue
896071,playback_issue,playback_issue
911617,other_or_unclear,other_or_unclear
89484,other_or_unclear,other_or_unclear
570527,other_or_unclear,other_or_unclear
416205,playback_issue,playback_issue
67695,account_or_access,account_or_access
1855587,music_or_content_request,music_or_content_request
2239727,app_or_technical_issue,app_or_technical_issue
2728385,other_or_unclear,other_or_unclear
609556,account_or_access,subscription_or_payment
508861,music_or_content_request,music_or_content_request
1190764,other_or_unclear,other_or_unclear
968296,app_or_technical_issue,app_or_technical_issue
338300,playback_issue,playback_issue
