tweet_id,message,intent,escalate,label_notes
2382585,"Done and done! :). Thanks for hitting me back, you guys are on the ball with your social media game!",other_or_unclear,no,
874981,"Well they keep themselves updated, but yes forced a check, its up to date.",app_or_technical_issue,no,
2312965,Please answer my DM!!,other_or_unclear,no,
1698986,Is this a problem with refusing to upgrade their firmware to support a new API or something like that?,other_or_unclear,no,
470967,"Thanks, had already tried that to no avail.",other_or_unclear,no,
353162,Problem fixed already. Thank you 😊,other_or_unclear,no,
2251340,"No messages, just the bad crackling and popping, tried downloading and streaming, also cleared cache",app_or_technical_issue,no,
450881,It helped after a while. Working now 😊,other_or_unclear,no,
689553,"Set to UK I think, and yeah does the same on my mac too. Doesn’t matter cos I can find a different version of the song, just thought you should know 😀",music_or_content_request,no,
1021340,"It not letting me use my unlimited skips, download my music etc.",playback_issue,no,
1861551,"i restarted the app, i logged out, but i cant re start my computer im at work, im just listening to music in youtube lol",app_or_technical_issue,no,
1513486,Is this something that will be fixed shortly? I like seeing when exactly in the year things were released,other_or_unclear,no,
2380904,Strange. It’s working now.,other_or_unclear,no,
2790801,Thanks for reply but finally the website is working and i sorted everything out myself,other_or_unclear,no,
2095111,it's not doing it now. i will try if it starts up again. it was the bottom bar and it was flashing sort of irregularly.,other_or_unclear,no,
187638,"not getting any error messages. just when pushing play next to a song, it plays a different one from my saved songs list.",playback_issue,no,
189335,"That didnt work either, I am still having the issue.",other_or_unclear,no,
2439885,Well baby now WE have bad blood 😡,other_or_unclear,no,
323081,A real update please ? There has been no real up from you. And my last post on Monday was deleted why is that ?,app_or_technical_issue,no,
1403679,"Thanks - my problem on that point is I only listen offline on one device, why can’t I save 9,999 songs then? I would assume that is a licensing issue that you can’t change. My downloads only work when I’m in the app, I can’t minimise the app and it carrys on very frustrating....",app_or_technical_issue,no,
2297262,"I've sent a DM abt my account's email address. Please, take a look. Thank you so much.",account_or_access,yes,
677115,"Hi i will help answer her quest. Jd kalo lo langganan/bayar pake CC lo bakal dpt tuh Rp.4990 utk 3 bulan , tp kalo lo bayar pake pulsa lo bakal kena harga Rp49.900 utk 3 bulan.. Kalo utk transfer itu hak ada promo 49.900 slma 1 bulan",other_or_unclear,no,
211369,"i think you have a portfolio of ""non descript"" standard responses like this :( How can this be so after a month of daily complaints.",other_or_unclear,no,
1297574,Thank you for the fast response and consideration.,other_or_unclear,no,
1616430,"Weird, I opened iTunes and then it restored my media controls. Must be a High Sierra bug I guess 👍",app_or_technical_issue,no,
91680,"I know, but your UI is saying that I’m at 1k+ of 4k+ downloads. It seems like it should say 1k+ of 3,333. ;)",app_or_technical_issue,no,
2203792,"I far prefer that look to the standard view, I️m on iOS if that helps the team out cheers!",other_or_unclear,no,
2427700,"Thanks, that would be great! Love your music and would love to listen to the books in the car. Keep up the good work! 👍🏻",other_or_unclear,no,
2294344,Thanks . Talk to you there.,other_or_unclear,no,
1764683,"When I open my phone Spotify, it automatically finds this. Why isn't there a way to disable this? It's ridiculous!",app_or_technical_issue,no,
1435271,I did already and it‘s still not working.. I also deleted the app and downloaded it again but it still doesnt play the songs..,playback_issue,no,
2704317,No error messages; Spotify literally just pauses when Snapchat goes off; I have to go back into the app and hit play again. This is happening to my friends too,playback_issue,no,
2125252,Thanks. So helpfull for me.,other_or_unclear,no,
1517196,Everything else connects through wi-fi so can’t check another Bluetooth device.,feature_or_product_question,no,
2677962,Ahh Spotify Cares appreciate it,app_or_technical_issue,no,
129249,Replied via dm please check,other_or_unclear,no,
2608713,Please don't leave me.,other_or_unclear,no,
2368045,Thanks. Fortunately have the #Zombi2 main theme up already so I can enjoy 's genius there! 🎧🎼,other_or_unclear,no,
2198191,"Fair play S people, its android latest on samsung s7",playback_issue,no,
2523560,"Been there, done that my friend ! Still clueless and incapable of preventing that from happening again and again...",app_or_technical_issue,no,
2131397,I force-closed the app and opened it back up. It’s back to normal now. Hopefully just a one time thing. If it happens again I’ll let you guys know. Thanks!,app_or_technical_issue,no,
9377,Then after about 5 hours it glitches again,app_or_technical_issue,no,
2078280,RECIÉN VEO ESTO POR DIOS QUE MARAVILLA,other_or_unclear,no,
581520,thanks - all settled - still very concerning that someone knew an impossible extremely long 17digit password - sounds like someone has gotten into your system because no-one knows my password - no one,playback_issue,no,
1339988,Ah no only on my phone,other_or_unclear,no,
867554,I was listening to the new Trivium album and sometimes a song not in the playlist would play after a song.,playback_issue,no,
2216066,Spotify does care!🙌🏼,other_or_unclear,no,
431433,"It's the heading for the ""browse"" section. It's in both Chinese and English because HK is bilingual. But it should be in Traditional Chinese",other_or_unclear,no,
1295664,"Apple iPhone SE, iOS 11, and newest version of Spotify.",app_or_technical_issue,no,
699074,Why can’t it just be random? We just want random. A playlist of 40 songs and 5 artists coming up like that is awful.,playback_issue,no,
1199008,But I have a song on Spotify but I search for it my name doesn’t come up,music_or_content_request,no,
1152029,wifi. I try playing music directly on the,playback_issue,no,
2851466,"I've been waiting for the playlist to be ""more in tune"" since weeks but nothing is changing...",playback_issue,no,
737374,"Hello, guys It is 8.4.22.857 armV7 I hope I can help you",other_or_unclear,no,
711777,It recently updated to the newest version of Spotify and I have it on a laptop.,app_or_technical_issue,no,
681878,"It was a joke, but try clicking ""translate"", it might be helpful",other_or_unclear,no,
1577528,"Different issues: occasionally when I try to play a playlist I have, it either won't play or tells me to get premium.",playback_issue,no,
1087023,Id say probably around 2500,other_or_unclear,no,
1526256,Noted and voted. I still use the old Starred playlist as well so it’s not the end of the world.,playback_issue,no,
2118668,for DVSN plsss and thank you,other_or_unclear,no,
79452,I haven’t had premium before but can’t get it as it say unable to do via a virgin phone.,subscription_or_payment,yes,
272515,Sorry nevermind. My small account wasn't worth the troubleshooting. I just made a new account. Thanks for jumping on this.,account_or_access,yes,
677092,Aren't we just better off cancelling our accounts and signing up again then? :/,account_or_access,yes,
2016110,No figured it out. I have to pay for premium in order to listen on my phone.,subscription_or_payment,yes,
917303,It's multiple songs in this Mixtape....,music_or_content_request,no,
2783463,Everything has not been good for three hours.,other_or_unclear,no,
1353056,"36.1Gb free Spotify 8.4.24.871armV7 Android 6.0 When I set the storage to SD card, after the reboot it is again set to internal storage.",other_or_unclear,no,
2653156,"""Submitted 2012"" This doesn't exactly inspire confidence",other_or_unclear,no,
1287119,It plays for about a song and a half and then the app shuts off. Also BT readout doesn't change songs on phone or in car/BT speakers.,playback_issue,no,
2774599,"It’s an iPhone 7 Plus, iOS 11.1.2 and it’s he most recent Spotify update",app_or_technical_issue,no,
1209343,No message comes up except when I try to press shuffle play,playback_issue,no,
2689671,iPhone iOS 11.1.2. After it closed so many times it finally opened up.,app_or_technical_issue,no,
2066485,reezal93 that's my username and my account's email address is __email__,account_or_access,yes,
2536595,what about on November 17???,other_or_unclear,no,
9371,Yes the music works fine no problem. Just the lock screen functionality has completely disappeared,app_or_technical_issue,no,
2596601,"Windows 10, Spotify Desktop app latest one i think because i havent got any update since last week but the point is, When the Spotify freeze, the whole dekstop freeze, since early this year iv been using it.",playback_issue,no,
1157917,I have enough balance btw.,other_or_unclear,no,
2284408,"The remix noo, the original of 💜🇪🇸",other_or_unclear,no,
1765622,"A song page loads, such as 's Wolves ( and then... nothing. The main button even says ""Pause"". No sound, no time ticking to show it's attempting to play.",playback_issue,no,
2705127,That shows me mostly artists I don't listen to or haven't heard of. Any way to subscribe to specific artists so I know when they release stuff?,other_or_unclear,no,
1125542,Felt good for that thank u,other_or_unclear,no,
1847317,"Well, that's a shame. I'd like to see you all work with Brave to get that fixed! It's a good browser that could use the push.",other_or_unclear,no,
2672071,Just checked and it's up now.. cheers for the help tho,other_or_unclear,no,
1027100,"Thanks for the energy! For example, this track:",other_or_unclear,no,
2473666,Thanks for getting back to me. How can I add a display name?,playback_issue,no,
2517257,Sure... I just found out what DM is (lol) but I don't know how to do it! Can you direct me please?,feature_or_product_question,no,
2614456,Thank you for your reply even if there isn’t a solution yet.,other_or_unclear,no,
2706972,11.1.2 and the newest Spotify update,app_or_technical_issue,no,
160519,That did not resolve the issue my home macbook pro. My work desktop mac doesn't even have a spotify cache folder in the library directory.,app_or_technical_issue,no,
1397487,"I've just restarted, nothing, I have over 2000 songs downloaded, and I've somehow gained 1.16gb storage.. it makes no sense",app_or_technical_issue,no,
2848317,"Interesting. I pay for a service, inc not sharing my info with , yet they blame for violating my privacy. #notaddingup",subscription_or_payment,yes,
620325,But on the phone app 😭😭😭,app_or_technical_issue,no,
290153,"iPhone 7, IOS 11.0.3, Version 8.4",other_or_unclear,no,
187398,"thanks, I have sent a message via that link but I haven't had a response yet. Is that normal or should I send it again.",other_or_unclear,no,
1343812,hope it won't take 3 hours for it to get fixed ...,other_or_unclear,no,
2618541,It normally doesnt and no its happening when im offline usually,app_or_technical_issue,no,
230260,"Still no joy, it's only when a video comes up on the feed, never happened before",app_or_technical_issue,no,
2784992,i already had premium so it’s impossible for me getting three months for $0.99,subscription_or_payment,yes,
2545867,"Aha, the ""new window"" did the trick! So you will still get my money in the future 🙂 Thx for helping out.",subscription_or_payment,yes,
2154953,So youre the “spotify care” team that doesnt have an answer to a simple question. #typical #spotifydoesntcare #profitbeforepeople,other_or_unclear,no,
2859044,"As you can see, there's no option to play the album immediately. If I add to queue, it gets pushed to the end.",playback_issue,no,
2306176,This is disappointing to say the least,app_or_technical_issue,no,
649088,"Nexus 5X running Android 8.0.0 spotify version 8.4.21.508, I'm beginning to wonder if it's the OS that's killing it off due to lack of ram?",other_or_unclear,no,
166624,Ok i would love to see it!,other_or_unclear,no,
2035222,thank you! Ive done my best each time to directly communicate &amp; and my distro this time has been very thorough :( to hoping,other_or_unclear,no,
1962698,I think it does that when I go from having service to a dead zone and then instantly getting service back. Second time it's happened.,app_or_technical_issue,no,
1450227,I have lots of relatives who live in Saudi Arabia also and they were able to create their accounts.,account_or_access,yes,
2746334,It's happening on any playlist and it's only on the phone. The correct queue shows on the iPad.,playback_issue,no,
2422832,"I've told you what's happening. I keep getting this with you - I don't work for you, I've given you more information about your bug than you'd get from a non-technical person and certainly enough to diagnose the issue. You have my username, why do you need my ip and email??",app_or_technical_issue,no,
1627433,"Oh, sorry I meant to follow up! It started working once I quit Spotify that was running on another Mac – hope that helps problemshoot.",other_or_unclear,no,
160555,I can’t get the album 😭,music_or_content_request,no,
494212,It didn't help :(((((((,other_or_unclear,no,
2964682,"I'm not really getting any error messages, it just won't let me play anything",playback_issue,no,
1855905,"Already done that, it didn't work :( it's really weird, it only seems to be Banks - everything else I've tried plays fine!",playback_issue,no,
890661,Well the only time I use offline music is when I'm not in wifi and the only time I'm not in wifi is in my car so I can't really test it out,other_or_unclear,no,
965741,2/2 And here's a link to the artist it should be associated with...,other_or_unclear,no,
172486,", This is clearly not an account issue. It's a design issue. This is a bug that needs needs to be address so the app will be accessible to users who need larger type.",app_or_technical_issue,no,
1150047,Both my Macbook and iPhone. I've been getting this for awhile,other_or_unclear,no,
67719,"can you add the song ""push it to the limit"" by Paul Engemann again?",music_or_content_request,no,
1543714,Seems I can’t play anything without it thinking I need to be on premium. It’s not an AirPods issue.,playback_issue,no,
