tweet_id,true_escalate,pred_escalate
2382585,no,no
874981,no,no
2312965,no,no
1698986,no,yes
470967,no,yes
353162,no,no
2251340,no,yes
450881,no,yes
689553,no,no
1021340,no,yes
1861551,no,no
1513486,no,yes
2380904,no,yes
2790801,no,yes
2095111,no,yes
187638,no,no
189335,no,yes
2439885,no,yes
323081,no,no
1403679,no,yes
2297262,yes,yes
677115,no,yes
211369,no,yes
1297574,no,yes
1616430,no,no
91680,no,yes
2203792,no,yes
2427700,no,yes
2294344,no,no
1764683,no,yes
1435271,no,no
2704317,no,yes
2125252,no,no
1517196,no,no
2677962,no,no
129249,no,yes
2608713,no,yes
2368045,no,yes
2198191,no,no
2523560,no,no
2131397,no,no
9377,no,no
2078280,no,yes
581520,no,yes
1339988,no,yes
867554,no,no
2216066,no,yes
431433,no,yes
1295664,no,no
699074,no,yes
1199008,no,no
1152029,no,yes
2851466,no,no
737374,no,yes
711777,no,no
681878,no,yes
1577528,no,yes
1087023,no,yes
1526256,no,yes
2118668,no,no
79452,yes,yes
272515,yes,yes
677092,yes,yes
2016110,yes,yes
917303,no,no
2783463,no,yes
1353056,no,yes
2653156,no,yes
1287119,no,yes
2774599,no,no
1209343,no,no
2689671,no,no
2066485,yes,yes
2536595,no,yes
9371,no,no
2596601,no,yes
1157917,no,yes
2284408,no,yes
1765622,no,yes
2705127,no,yes
1125542,no,yes
1847317,no,yes
2672071,no,yes
1027100,no,yes
2473666,no,no
2517257,no,no
2614456,no,yes
2706972,no,no
160519,no,no
1397487,no,no
2848317,yes,yes
620325,no,no
290153,no,yes
187398,no,yes
1343812,no,yes
2618541,no,no
230260,no,no
2784992,yes,yes
2545867,yes,yes
2154953,no,yes
2859044,no,no
2306176,no,no
649088,no,yes
166624,no,yes
2035222,no,yes
1962698,no,no
1450227,yes,yes
2746334,no,no
2422832,no,yes
1627433,no,yes
160555,no,no
494212,no,yes
2964682,no,no
1855905,no,no
890661,no,yes
965741,no,yes
172486,no,no
1150047,no,yes
67719,no,no
1543714,no,yes
648645,yes,yes
1009375,no,no
1870132,no,yes
2924049,no,yes
1444688,no,yes
1263458,no,yes
2507490,no,no
1964312,no,yes
1930974,no,no
2276896,yes,yes
2251423,no,yes
1730849,no,yes
2887775,yes,yes
1063359,no,no
466055,no,yes
1128836,no,yes
2239643,no,yes
1243940,no,no
2891289,no,yes
2066023,no,yes
2286399,no,yes
141182,no,no
1289174,no,no
2293844,no,no
181682,no,yes
2913910,no,no
211087,no,no
272242,no,yes
1154180,no,no
2259622,no,yes
1211742,no,yes
974972,no,yes
1315452,no,yes
2298904,no,yes
2190750,no,yes
1099427,no,yes
1386923,yes,yes
684940,no,yes
187551,no,yes
844351,no,yes
1826396,no,no
95805,no,yes
1523739,no,no
1230173,no,no
1636799,no,yes
2705886,no,yes
1760771,no,no
896071,no,no
911617,no,yes
89484,no,yes
570527,no,yes
416205,no,no
67695,yes,yes
1855587,no,yes
2239727,no,no
2728385,no,no
609556,yes,yes
508861,no,no
1190764,no,yes
968296,no,no
338300,no,yes
237567,yes,yes
189319,no,no
1346917,no,yes
79413,yes,yes
2081623,no,no
1218594,no,yes
1609242,no,no
1182773,yes,yes
2749507,no,yes
190086,yes,yes
1089993,no,yes
1176569,no,yes
2877415,no,yes
1851961,no,yes
189823,yes,yes
1592990,no,yes
343534,no,yes
2245969,no,yes
611411,no,no
